,Happy,Angry,Surprise,Sad,Fear
Act 1,0.12048096192384769,0.05881763527054108,0.1630060120240481,0.2391382765531062,0.27945891783567134
Act 2,0.12577154308617236,0.04699398797595191,0.17398797595190382,0.2420440881763527,0.26028056112224446
Act 3,0.1389,0.05465999999999999,0.14956,0.20706,0.32726
